#      Time      | Net gen         |
#    hr:mm:ss    |#      W         |
  104:45: 0               0.00000
  105:15: 0             436.97873
  105:45: 0            1373.54749
  106:15: 0            2062.37988
  106:45: 0            2443.85303
  107:15: 0            2972.60205
  107:45: 0            3650.79614
  108:15: 0            4135.07275
  108:45: 0            4421.44727
  109:15: 0            6684.04883
  109:45: 0           11487.49609
  110:15: 0           13136.42578
  110:45: 0           11378.80957
  111:15: 0            8165.51074
  111:45: 0            2837.06812
  112:15: 0               0.00000
  112:45: 0               0.00000
  113:15: 0               0.00000
  113:45: 0               0.00000
  114:15: 0               0.00000
  114:45: 0               0.00000
  115:15: 0               0.00000
  115:45: 0               0.00000
  116:15: 0               0.00000
  116:45: 0               0.00000
  117:15: 0               0.00000
  117:45: 0               0.00000
  118:15: 0               0.00000
  118:45: 0               0.00000
  119:15: 0               0.00000
  119:45: 0               0.00000
  120:15: 0               0.00000
  120:45: 0               0.00000
  121:15: 0               0.00000
  121:45: 0               0.00000
  122:15: 0               0.00000
  122:45: 0               0.00000
  123:15: 0               0.00000
  123:45: 0               0.00000
  124:15: 0               0.00000
  124:45: 0               0.00000
  125:15: 0               0.00000
  125:45: 0               0.00000
  126:15: 0               0.00000
  126:45: 0               0.00000
  127:15: 0               0.00000
  127:45: 0               0.00000
  128:15: 0               0.00000
  128:45: 0               0.00000
  129:15: 0             448.03763
  129:45: 0            1406.42700
  130:15: 0           10122.00000
  130:45: 0           26604.96875
  131:15: 0           34588.05078
  131:45: 0           32933.39844
  132:15: 0           29605.52539
  132:45: 0           26362.83594
  133:15: 0           21895.16797
  133:45: 0           16480.61328
  134:15: 0           13243.72461
  134:45: 0           11591.47656
  135:15: 0            8435.45898
  135:45: 0            2958.24731
  136:15: 0               0.00000
  136:45: 0               0.00000
  137:15: 0               0.00000
  137:45: 0               0.00000
  138:15: 0               0.00000
  138:45: 0               0.00000
  139:15: 0               0.00000
  139:45: 0               0.00000
  140:15: 0               0.00000
  140:45: 0               0.00000
  141:15: 0               0.00000
  141:45: 0               0.00000
  142:15: 0               0.00000
  142:45: 0               0.00000
  143:15: 0               0.00000
  143:45: 0               0.00000
  144:15: 0               0.00000
  144:45: 0               0.00000
  145:15: 0               0.00000
  145:45: 0               0.00000
  146:15: 0               0.00000
  146:45: 0               0.00000
  147:15: 0               0.00000
  147:45: 0               0.00000
  148:15: 0               0.00000
  148:45: 0               0.00000
  149:15: 0               0.00000
  149:45: 0               0.00000
  150:15: 0               0.00000
  150:45: 0               0.00000
  151:15: 0               0.00000
  151:45: 0               0.00000
  152:15: 0               0.00000
  152:45: 0               0.00000
  153:15: 0             437.92828
  153:45: 0            1376.14136
  154:15: 0            3832.74609
