 
Zone db temperature (degC)
For zone: room
 
#Time "Base case       ","U01 0.33        ","U01 0.60        ","U01 0.90        ","U01 1.37        ","U01 3.16        ","U01 0.89        ","U01-0.62        ","U01 1.30        ","M-C run:   9    ",
42.08854,5.6392,5.6790,5.6501,5.6585,5.6684,5.6836,5.7405,5.6679,5.6191,5.6812
42.09895,5.6266,5.6664,5.6375,5.6459,5.6558,5.6710,5.7281,5.6553,5.6063,5.6686
42.10937,5.6138,5.6538,5.6248,5.6333,5.6432,5.6585,5.7156,5.6427,5.5935,5.6560
42.11979,5.6011,5.6412,5.6121,5.6206,5.6306,5.6459,5.7032,5.6301,5.5807,5.6434
42.13020,5.5884,5.6287,5.5994,5.6080,5.6180,5.6333,5.6908,5.6175,5.5679,5.6309
42.14062,5.5757,5.6161,5.5868,5.5954,5.6054,5.6208,5.6785,5.6049,5.5552,5.6184
42.15104,5.5631,5.6036,5.5742,5.5828,5.5929,5.6084,5.6661,5.5924,5.5424,5.6059
42.16145,5.5505,5.5912,5.5616,5.5703,5.5804,5.5959,5.6539,5.5799,5.5297,5.5934
42.17187,5.5402,5.5811,5.5514,5.5601,5.5702,5.5858,5.6440,5.5697,5.5193,5.5833
42.18229,5.5348,5.5759,5.5460,5.5548,5.5650,5.5806,5.6391,5.5645,5.5138,5.5781
42.19270,5.5324,5.5737,5.5437,5.5525,5.5627,5.5785,5.6372,5.5622,5.5113,5.5760
42.20312,5.5306,5.5722,5.5420,5.5508,5.5611,5.5770,5.6360,5.5606,5.5094,5.5744
42.21354,5.5273,5.5691,5.5387,5.5476,5.5580,5.5739,5.6333,5.5575,5.5060,5.5714
42.22395,5.5200,5.5620,5.5315,5.5404,5.5509,5.5669,5.6265,5.5504,5.4986,5.5643
42.23437,5.5106,5.5528,5.5222,5.5311,5.5416,5.5577,5.6176,5.5411,5.4891,5.5551
42.24479,5.5013,5.5437,5.5129,5.5219,5.5324,5.5486,5.6087,5.5319,5.4797,5.5460
42.25520,5.4920,5.5345,5.5036,5.5127,5.5232,5.5394,5.5997,5.5227,5.4703,5.5368
42.26562,5.4825,5.5252,5.4942,5.5033,5.5139,5.5301,5.5907,5.5134,5.4607,5.5275
42.27604,5.4730,5.5158,5.4847,5.4938,5.5045,5.5208,5.5815,5.5039,5.4511,5.5182
42.28645,5.4635,5.5065,5.4753,5.4844,5.4951,5.5115,5.5724,5.4946,5.4416,5.5089
42.29687,5.4541,5.4972,5.4659,5.4751,5.4858,5.5022,5.5633,5.4853,5.4321,5.4996
42.30729,5.4447,5.4880,5.4566,5.4657,5.4765,5.4930,5.5543,5.4760,5.4226,5.4903
42.31770,5.4353,5.4787,5.4472,5.4564,5.4672,5.4837,5.5452,5.4667,5.4132,5.4811
42.32812,5.4268,5.4703,5.4387,5.4479,5.4587,5.4753,5.5369,5.4582,5.4046,5.4726
42.33854,5.5008,5.5445,5.5127,5.5220,5.5329,5.5496,5.6116,5.5324,5.4784,5.5469
42.34895,5.6685,5.7128,5.6806,5.6900,5.7010,5.7179,5.7807,5.7005,5.6459,5.7152
42.35937,5.7697,5.8144,5.7819,5.7914,5.8025,5.8195,5.8830,5.8020,5.7468,5.8168
42.36979,5.7915,5.8362,5.8037,5.8132,5.8244,5.8414,5.9050,5.8238,5.7686,5.8387
42.38020,5.8235,5.8682,5.8357,5.8452,5.8563,5.8733,5.9368,5.8558,5.8007,5.8706
42.39062,5.8677,5.9123,5.8799,5.8894,5.9005,5.9175,5.9808,5.8999,5.8449,5.9147
42.40104,5.9122,5.9569,5.9245,5.9339,5.9450,5.9620,6.0254,5.9445,5.8895,5.9593
42.41145,5.9570,6.0016,5.9692,5.9787,5.9898,6.0068,6.0702,5.9892,5.9342,6.0041
42.42187,6.0032,6.0478,6.0154,6.0249,6.0360,6.0530,6.1163,6.0354,5.9804,6.0502
42.43229,6.0498,6.0944,6.0620,6.0714,6.0825,6.0995,6.1629,6.0820,6.0270,6.0968
42.44270,6.0967,6.1413,6.1089,6.1184,6.1295,6.1465,6.2098,6.1289,6.0740,6.1438
42.45312,6.1448,6.1894,6.1570,6.1665,6.1776,6.1946,6.2580,6.1770,6.1221,6.1919
42.46354,6.1917,6.2361,6.2038,6.2133,6.2243,6.2413,6.3049,6.2238,6.1690,6.2386
42.47395,6.2340,6.2782,6.2461,6.2555,6.2665,6.2835,6.3473,6.2660,6.2115,6.2807
42.48437,6.2739,6.3181,6.2860,6.2954,6.3063,6.3233,6.3866,6.3058,6.2514,6.3205
42.49479,6.3136,6.3576,6.3256,6.3350,6.3459,6.3627,6.4254,6.3454,6.2911,6.3600
42.50520,6.3546,6.3982,6.3665,6.3758,6.3866,6.4033,6.4656,6.3861,6.3323,6.4006
42.51562,6.3982,6.4414,6.4100,6.4192,6.4300,6.4465,6.5083,6.4294,6.3762,6.4438
42.52604,6.4423,6.4851,6.4539,6.4630,6.4737,6.4901,6.5515,6.4732,6.4205,6.4874
42.53645,6.4855,6.5278,6.4970,6.5060,6.5166,6.5328,6.5936,6.5160,6.4640,6.5302
42.54687,6.5260,6.5678,6.5374,6.5463,6.5567,6.5727,6.6329,6.5562,6.5049,6.5701
42.55729,6.5601,6.6013,6.5713,6.5801,6.5903,6.6061,6.6657,6.5898,6.5393,6.6036
42.56770,6.5886,6.6292,6.5997,6.6083,6.6184,6.6340,6.6927,6.6179,6.5682,6.6314
42.57812,6.6146,6.6545,6.6254,6.6339,6.6438,6.6591,6.7171,6.6433,6.5945,6.6567
42.58854,6.6359,6.6751,6.6465,6.6548,6.6646,6.6797,6.7368,6.6641,6.6163,6.6772
42.59895,6.6490,6.6873,6.6594,6.6675,6.6771,6.6918,6.7480,6.6766,6.6298,6.6895
42.60937,6.6553,6.6928,6.6654,6.6734,6.6828,6.6972,6.7525,6.6823,6.6366,6.6949
42.61979,6.6583,6.6951,6.6682,6.6760,6.6852,6.6994,6.7538,6.6847,6.6400,6.6971
42.63020,6.6590,6.6949,6.6687,6.6763,6.6852,6.6992,6.7525,6.6848,6.6412,6.6969
42.64062,6.6565,6.6913,6.6659,6.6732,6.6819,6.6954,6.7472,6.6815,6.6394,6.6932
42.65104,6.6502,6.6837,6.6592,6.6663,6.6747,6.6877,6.7381,6.6743,6.6337,6.6856
42.66145,6.6409,6.6734,6.6496,6.6565,6.6646,6.6773,6.7264,6.6642,6.6250,6.6752
42.67187,6.6296,6.6611,6.6381,6.6447,6.6526,6.6648,6.7126,6.6522,6.6143,6.6629
42.68229,6.6164,6.6468,6.6246,6.6309,6.6386,6.6504,6.6968,6.6382,6.6017,6.6485
42.69270,6.6016,6.6308,6.6094,6.6155,6.6229,6.6343,6.6794,6.6225,6.5875,6.6325
42.70312,6.5852,6.6133,6.5927,6.5986,6.6057,6.6168,6.6604,6.6053,6.5717,6.6150
42.71354,6.5701,6.5972,6.5773,6.5830,6.5898,6.6005,6.6427,6.5895,6.5572,6.5987
42.72395,6.5607,6.5867,6.5677,6.5731,6.5796,6.5899,6.6307,6.5793,6.5484,6.5882
42.73437,6.5563,6.5812,6.5629,6.5681,6.5744,6.5843,6.6237,6.5741,6.5445,6.5827
42.74479,6.5537,6.5776,6.5600,6.5650,6.5710,6.5805,6.6187,6.5707,6.5424,6.5790
42.75520,6.4694,6.4923,6.4755,6.4803,6.4860,6.4951,6.5319,6.4857,6.4587,6.4937
42.76562,6.2792,6.3009,6.2849,6.2895,6.2950,6.3036,6.3388,6.2947,6.2691,6.3022
42.77604,6.1421,6.1628,6.1476,6.1519,6.1571,6.1654,6.1991,6.1568,6.1326,6.1640
42.78645,6.0992,6.1193,6.1045,6.1087,6.1138,6.1218,6.1547,6.1135,6.0898,6.1205
42.79687,6.0649,6.0846,6.0701,6.0742,6.0792,6.0871,6.1192,6.0789,6.0558,6.0858
42.80729,6.0122,6.0313,6.0172,6.0212,6.0260,6.0337,6.0650,6.0258,6.0033,6.0325
42.81770,5.9456,5.9642,5.9505,5.9544,5.9591,5.9665,5.9969,5.9588,5.9370,5.9653
42.82812,5.8703,5.8884,5.8751,5.8788,5.8834,5.8906,5.9200,5.8832,5.8620,5.8894
42.83854,5.8012,5.8188,5.8059,5.8095,5.8140,5.8210,5.8497,5.8137,5.7931,5.8198
42.84895,5.7616,5.7789,5.7662,5.7698,5.7741,5.7810,5.8093,5.7739,5.7537,5.7799
42.85937,5.7456,5.7625,5.7501,5.7536,5.7579,5.7647,5.7926,5.7576,5.7378,5.7636
42.86979,5.7364,5.7531,5.7408,5.7443,5.7485,5.7552,5.7826,5.7483,5.7288,5.7541
42.88020,5.7282,5.7445,5.7325,5.7359,5.7400,5.7466,5.7735,5.7398,5.7206,5.7455
42.89062,5.7169,5.7330,5.7212,5.7245,5.7286,5.7351,5.7616,5.7284,5.7094,5.7340
42.90104,5.7031,5.7191,5.7073,5.7106,5.7147,5.7211,5.7473,5.7145,5.6957,5.7200
42.91145,5.6888,5.7047,5.6930,5.6963,5.7003,5.7067,5.7326,5.7001,5.6814,5.7056
42.92187,5.6738,5.6897,5.6780,5.6813,5.6853,5.6916,5.7174,5.6851,5.6664,5.6906
42.93229,5.6574,5.6734,5.6617,5.6650,5.6690,5.6753,5.7011,5.6688,5.6500,5.6743
42.94270,5.6402,5.6563,5.6445,5.6478,5.6519,5.6582,5.6841,5.6517,5.6326,5.6572
42.95312,5.6229,5.6391,5.6272,5.6306,5.6347,5.6411,5.6669,5.6344,5.6152,5.6400
42.96354,5.6032,5.6196,5.6076,5.6110,5.6151,5.6216,5.6476,5.6149,5.5954,5.6205
42.97395,5.5782,5.5948,5.5827,5.5862,5.5903,5.5969,5.6231,5.5901,5.5703,5.5958
42.98437,5.5497,5.5667,5.5543,5.5578,5.5621,5.5687,5.5952,5.5618,5.5416,5.5677
42.99479,5.5203,5.5376,5.5249,5.5285,5.5329,5.5397,5.5665,5.5327,5.5119,5.5386
 
43.00520,5.5573,5.5749,5.5620,5.5657,5.5701,5.5770,5.6041,5.5699,5.5487,5.5759
43.01562,5.6720,5.6894,5.6767,5.6803,5.6847,5.6915,5.7183,5.6845,5.6635,5.6904
43.02604,5.7231,5.7403,5.7277,5.7313,5.7357,5.7424,5.7689,5.7354,5.7147,5.7413
43.03645,5.6858,5.7038,5.6907,5.6945,5.6990,5.7060,5.7333,5.6988,5.6770,5.7049
43.04687,5.6491,5.6678,5.6542,5.6581,5.6628,5.6701,5.6982,5.6626,5.6398,5.6689
43.05729,5.6371,5.6562,5.6423,5.6463,5.6511,5.6585,5.6869,5.6508,5.6276,5.6573
43.06770,5.6356,5.6552,5.6409,5.6450,5.6499,5.6575,5.6864,5.6497,5.6258,5.6563
43.07812,5.6335,5.6536,5.6390,5.6432,5.6483,5.6560,5.6857,5.6480,5.6234,5.6548
43.08854,5.6234,5.6442,5.6291,5.6334,5.6386,5.6466,5.6770,5.6384,5.6129,5.6453
43.09895,5.5971,5.6185,5.6030,5.6075,5.6128,5.6210,5.6520,5.6125,5.5864,5.6197
43.10937,5.5603,5.5821,5.5663,5.5709,5.5763,5.5847,5.6162,5.5760,5.5492,5.5833
43.11979,5.5202,5.5423,5.5262,5.5309,5.5365,5.5449,5.5768,5.5362,5.5089,5.5436
43.13020,5.4797,5.5020,5.4858,5.4905,5.4961,5.5046,5.5364,5.4958,5.4682,5.5033
43.14062,5.4420,5.4645,5.4482,5.4529,5.4585,5.4671,5.4990,5.4583,5.4307,5.4657
43.15104,5.4063,5.4292,5.4125,5.4173,5.4231,5.4318,5.4653,5.4228,5.3948,5.4305
43.16145,5.3712,5.3953,5.3777,5.3828,5.3889,5.3981,5.4332,5.3886,5.3591,5.3966
43.17187,5.3395,5.3647,5.3464,5.3518,5.3580,5.3677,5.4037,5.3577,5.3267,5.3661
43.18229,5.3135,5.3395,5.3207,5.3262,5.3326,5.3425,5.3795,5.3323,5.3003,5.3409
43.19270,5.2908,5.3174,5.2981,5.3037,5.3103,5.3205,5.3583,5.3100,5.2772,5.3188
43.20312,5.2685,5.2957,5.2759,5.2817,5.2885,5.2989,5.3376,5.2881,5.2546,5.2972
43.21354,5.2464,5.2743,5.2541,5.2600,5.2670,5.2776,5.3171,5.2666,5.2322,5.2759
43.22395,5.2247,5.2532,5.2325,5.2386,5.2457,5.2565,5.2969,5.2453,5.2101,5.2548
43.23437,5.2030,5.2321,5.2110,5.2172,5.2244,5.2355,5.2768,5.2240,5.1881,5.2337
43.24479,5.1812,5.2110,5.1894,5.1957,5.2031,5.2144,5.2565,5.2027,5.1660,5.2126
43.25520,5.1580,5.1884,5.1663,5.1728,5.1803,5.1919,5.2348,5.1799,5.1424,5.1900
43.26562,5.1315,5.1625,5.1400,5.1466,5.1543,5.1661,5.2099,5.1539,5.1156,5.1642
43.27604,5.1027,5.1345,5.1115,5.1182,5.1261,5.1382,5.1830,5.1257,5.0865,5.1363
43.28645,5.0734,5.1059,5.0823,5.0892,5.0973,5.1097,5.1555,5.0969,5.0567,5.1077
43.29687,5.0465,5.0798,5.0556,5.0627,5.0710,5.0836,5.1304,5.0705,5.0294,5.0816
43.30729,5.0256,5.0595,5.0349,5.0421,5.0506,5.0634,5.1111,5.0501,5.0082,5.0614
43.31770,5.0088,5.0432,5.0182,5.0256,5.0341,5.0472,5.0956,5.0337,4.9911,5.0451
43.32812,4.9955,5.0304,5.0051,5.0125,5.0211,5.0344,5.0835,5.0207,4.9777,5.0323
43.33854,5.0850,5.1188,5.0942,5.1013,5.1098,5.1228,5.1715,5.1093,5.0684,5.1207
43.34895,5.3105,5.3445,5.3196,5.3268,5.3353,5.3485,5.3982,5.3349,5.2942,5.3464
43.35937,5.5048,5.5431,5.5153,5.5234,5.5330,5.5476,5.6015,5.5325,5.4853,5.5452
43.36979,5.6386,5.6797,5.6500,5.6587,5.6689,5.6844,5.7410,5.6684,5.6170,5.6820
43.38020,5.7902,5.8314,5.8016,5.8104,5.8206,5.8361,5.8929,5.8201,5.7688,5.8336
43.39062,5.9477,5.9895,5.9592,5.9681,5.9785,5.9942,6.0518,5.9780,5.9260,5.9917
43.40104,6.0978,6.1402,6.1095,6.1185,6.1290,6.1450,6.2034,6.1285,6.0757,6.1425
43.41145,6.2573,6.3000,6.2691,6.2782,6.2888,6.3048,6.3635,6.2882,6.2350,6.3023
43.42187,6.4360,6.4789,6.4478,6.4570,6.4676,6.4837,6.5427,6.4671,6.4136,6.4812
43.43229,6.6148,6.6580,6.6267,6.6359,6.6467,6.6630,6.7223,6.6461,6.5922,6.6604
43.44270,6.7799,6.8235,6.7920,6.8013,6.8121,6.8285,6.8882,6.8115,6.7572,6.8259
43.45312,6.9376,6.9814,6.9497,6.9591,6.9699,6.9864,7.0464,6.9694,6.9147,6.9838
43.46354,7.0971,7.1410,7.1092,7.1186,7.1295,7.1460,7.2063,7.1290,7.0741,7.1434
43.47395,7.2706,7.3146,7.2827,7.2921,7.3030,7.3196,7.3798,7.3025,7.2476,7.3169
43.48437,7.4665,7.5103,7.4786,7.4879,7.4988,7.5153,7.5755,7.4982,7.4436,7.5127
43.49479,7.6809,7.7245,7.6929,7.7022,7.7130,7.7295,7.7894,7.7125,7.6582,7.7268
43.50520,7.8992,7.9424,7.9111,7.9203,7.9310,7.9473,8.0068,7.9305,7.8768,7.9447
43.51562,8.0987,8.1413,8.1104,8.1195,8.1301,8.1462,8.2052,8.1296,8.0765,8.1436
43.52604,8.2684,8.3105,8.2800,8.2889,8.2994,8.3153,8.3737,8.2988,8.2466,8.3127
43.53645,8.4175,8.4589,8.4289,8.4377,8.4480,8.4636,8.5213,8.4475,8.3963,8.4611
43.54687,8.5825,8.6229,8.5936,8.6022,8.6123,8.6276,8.6843,8.6118,8.5618,8.6252
43.55729,8.8284,8.8675,8.8391,8.8474,8.8572,8.8720,8.9270,8.8567,8.8085,8.8696
43.56770,9.1775,9.2147,9.1877,9.1956,9.2048,9.2191,9.2719,9.2044,9.1585,9.2168
43.57812,9.5861,9.6214,9.5958,9.6033,9.6120,9.6255,9.6760,9.6116,9.5683,9.6234
43.58854,9.9853,10.0185,9.9944,10.0014,10.0097,10.0224,10.0703,10.0093,9.9687,10.0204
43.59895,10.2932,10.3239,10.3015,10.3080,10.3157,10.3276,10.3725,10.3153,10.2779,10.3257
43.60937,10.4838,10.5120,10.4914,10.4974,10.5044,10.5153,10.5571,10.5041,10.4699,10.5136
43.61979,10.5977,10.6234,10.6046,10.6100,10.6165,10.6265,10.6652,10.6161,10.5852,10.6249
43.63020,10.6493,10.6727,10.6555,10.6604,10.6663,10.6755,10.7114,10.6660,10.6380,10.6740
43.64062,10.6168,10.6381,10.6225,10.6269,10.6323,10.6408,10.6742,10.6320,10.6067,10.6394
43.65104,10.5030,10.5225,10.5082,10.5122,10.5171,10.5249,10.5562,10.5169,10.4941,10.5237
43.66145,10.3380,10.3557,10.3426,10.3463,10.3508,10.3580,10.3873,10.3505,10.3301,10.3568
43.67187,10.1440,10.1600,10.1481,10.1514,10.1555,10.1621,10.1897,10.1553,10.1371,10.1610
43.68229,9.9369,9.9513,9.9406,9.9435,9.9472,9.9532,9.9792,9.9470,9.9311,9.9522
43.69270,9.7286,9.7412,9.7317,9.7343,9.7375,9.7430,9.7672,9.7374,9.7238,9.7421
43.70312,9.5236,9.5343,9.5262,9.5283,9.5311,9.5358,9.5581,9.5309,9.5199,9.5350
43.71354,9.3227,9.3313,9.3246,9.3263,9.3286,9.3326,9.3527,9.3285,9.3203,9.3319
43.72395,9.1312,9.1376,9.1325,9.1337,9.1355,9.1387,9.1564,9.1353,9.1300,9.1382
43.73437,8.9640,8.9682,8.9647,8.9654,8.9666,8.9690,8.9841,8.9665,8.9642,8.9686
43.74479,8.8225,8.8243,8.8225,8.8227,8.8233,8.8249,8.8372,8.8233,8.8240,8.8246
43.75520,8.6199,8.6194,8.6193,8.6190,8.6190,8.6198,8.6292,8.6190,8.6227,8.6196
43.76562,8.3330,8.3296,8.3315,8.3306,8.3299,8.3296,8.3360,8.3300,8.3371,8.3296
43.77604,8.1130,8.1052,8.1104,8.1086,8.1069,8.1051,8.1090,8.1069,8.1192,8.1053
43.78645,8.0028,7.9914,7.9993,7.9967,7.9941,7.9914,7.9924,7.9942,8.0109,7.9916
43.79687,7.9314,7.9185,7.9274,7.9244,7.9215,7.9181,7.9145,7.9216,7.9405,7.9184
43.80729,7.8720,7.8576,7.8675,7.8642,7.8609,7.8565,7.8483,7.8610,7.8822,7.8572
43.81770,7.8176,7.8008,7.8124,7.8086,7.8046,7.7993,7.7875,7.8048,7.8291,7.8001
43.82812,7.7682,7.7490,7.7624,7.7581,7.7535,7.7473,7.7322,7.7537,7.7810,7.7482
43.83854,7.7208,7.6994,7.7144,7.7096,7.7045,7.6974,7.6795,7.7047,7.7346,7.6985
43.84895,7.6708,7.6475,7.6638,7.6586,7.6531,7.6453,7.6249,7.6533,7.6855,7.6465
43.85937,7.6189,7.5943,7.6115,7.6061,7.6002,7.5920,7.5694,7.6005,7.6344,7.5932
43.86979,7.5680,7.5424,7.5604,7.5548,7.5486,7.5400,7.5156,7.5489,7.5838,7.5413
43.88020,7.5211,7.4947,7.5134,7.5075,7.5012,7.4922,7.4662,7.5015,7.5371,7.4936
43.89062,7.4812,7.4542,7.4734,7.4674,7.4609,7.4516,7.4242,7.4612,7.4974,7.4530
43.90104,7.4466,7.4191,7.4386,7.4326,7.4259,7.4164,7.3878,7.4262,7.4629,7.4178
43.91145,7.4132,7.3856,7.4052,7.3992,7.3925,7.3828,7.3536,7.3928,7.4295,7.3843
43.92187,7.3788,7.3516,7.3710,7.3650,7.3584,7.3489,7.3197,7.3587,7.3948,7.3504
43.93229,7.3441,7.3173,7.3364,7.3305,7.3240,7.3146,7.2854,7.3243,7.3596,7.3161
43.94270,7.3099,7.2835,7.3024,7.2966,7.2901,7.2808,7.2516,7.2904,7.3251,7.2823
43.95312,7.2760,7.2501,7.2686,7.2629,7.2566,7.2474,7.2184,7.2569,7.2908,7.2489
43.96354,7.2423,7.2170,7.2351,7.2296,7.2235,7.2145,7.1858,7.2237,7.2566,7.2159
43.97395,7.2088,7.1844,7.2019,7.1966,7.1906,7.1819,7.1537,7.1909,7.2226,7.1832
43.98437,7.1756,7.1521,7.1690,7.1638,7.1581,7.1496,7.1222,7.1584,7.1888,7.1510
43.99479,7.1426,7.1201,7.1363,7.1314,7.1259,7.1177,7.0912,7.1261,7.1552,7.1190
 
44.00520,7.1046,7.0832,7.0986,7.0939,7.0887,7.0809,7.0555,7.0889,7.1165,7.0822
44.01562,7.0555,7.0354,7.0499,7.0455,7.0406,7.0333,7.0091,7.0408,7.0667,7.0344
44.02604,6.9998,6.9810,6.9946,6.9904,6.9858,6.9790,6.9562,6.9860,7.0101,6.9801
44.03645,6.9427,6.9253,6.9379,6.9341,6.9298,6.9235,6.9022,6.9300,6.9522,6.9245
44.04687,6.8881,6.8722,6.8838,6.8803,6.8764,6.8705,6.8508,6.8765,6.8968,6.8715
44.05729,6.8401,6.8257,6.8362,6.8330,6.8295,6.8241,6.8061,6.8296,6.8479,6.8250
44.06770,6.7958,6.7828,6.7923,6.7894,6.7863,6.7815,6.7652,6.7864,6.8027,6.7822
44.07812,6.7516,6.7402,6.7485,6.7460,6.7432,6.7390,6.7245,6.7434,6.7576,6.7397
44.08854,6.7090,6.6993,6.7064,6.7043,6.7019,6.6982,6.6856,6.7020,6.7142,6.6988
44.09895,6.6696,6.6614,6.6674,6.6656,6.6636,6.6606,6.6498,6.6637,6.6738,6.6611
44.10937,6.6319,6.6253,6.6302,6.6287,6.6271,6.6246,6.6158,6.6272,6.6352,6.6250
44.11979,6.5949,6.5899,6.5936,6.5925,6.5913,6.5894,6.5826,6.5914,6.5973,6.5897
44.13020,6.5540,6.5508,6.5533,6.5525,6.5517,6.5504,6.5456,6.5517,6.5556,6.5506
44.14062,6.5036,6.5020,6.5033,6.5030,6.5026,6.5019,6.4991,6.5026,6.5043,6.5020
44.15104,6.4473,6.4474,6.4475,6.4475,6.4475,6.4474,6.4468,6.4475,6.4470,6.4475
44.16145,6.3895,6.3913,6.3902,6.3905,6.3910,6.3916,6.3931,6.3909,6.3883,6.3915
44.17187,6.3374,6.3410,6.3386,6.3393,6.3402,6.3414,6.3451,6.3401,6.3352,6.3412
44.18229,6.2990,6.3042,6.3006,6.3017,6.3030,6.3048,6.3107,6.3029,6.2959,6.3045
44.19270,6.2675,6.2744,6.2696,6.2711,6.2728,6.2752,6.2832,6.2727,6.2635,6.2748
44.20312,6.2361,6.2447,6.2386,6.2405,6.2426,6.2456,6.2557,6.2424,6.2312,6.2452
44.21354,6.2053,6.2156,6.2083,6.2105,6.2130,6.2167,6.2289,6.2129,6.1995,6.2161
44.22395,6.1751,6.1870,6.1786,6.1811,6.1840,6.1883,6.2027,6.1839,6.1684,6.1877
44.23437,6.1454,6.1589,6.1493,6.1522,6.1555,6.1604,6.1769,6.1554,6.1378,6.1597
44.24479,6.1164,6.1315,6.1208,6.1240,6.1277,6.1332,6.1518,6.1275,6.1080,6.1323
44.25520,6.0872,6.1039,6.0920,6.0956,6.0997,6.1058,6.1264,6.0995,6.0779,6.1048
44.26562,6.0568,6.0751,6.0620,6.0659,6.0704,6.0771,6.0999,6.0702,6.0466,6.0761
44.27604,6.0260,6.0459,6.0317,6.0359,6.0408,6.0481,6.0729,6.0406,6.0150,6.0470
44.28645,5.9958,6.0172,6.0019,6.0065,6.0118,6.0196,6.0465,6.0115,5.9839,6.0184
44.29687,5.9647,5.9877,5.9712,5.9762,5.9818,5.9903,6.0192,5.9815,5.9520,5.9889
44.30729,5.9312,5.9558,5.9382,5.9435,5.9495,5.9585,5.9896,5.9492,5.9178,5.9571
44.31770,5.8966,5.9228,5.9041,5.9096,5.9161,5.9257,5.9587,5.9158,5.8824,5.9242
44.32812,5.8631,5.8907,5.8709,5.8768,5.8836,5.8938,5.9289,5.8833,5.8480,5.8922
44.33854,5.9189,5.9478,5.9271,5.9333,5.9404,5.9510,5.9879,5.9400,5.9031,5.9494
44.34895,6.1015,6.1314,6.1099,6.1163,6.1237,6.1347,6.1731,6.1233,6.0853,6.1330
44.35937,6.2690,6.2999,6.2777,6.2843,6.2920,6.3034,6.3433,6.2916,6.2523,6.3016
44.36979,6.3911,6.4230,6.4001,6.4069,6.4148,6.4266,6.4679,6.4144,6.3736,6.4247
44.38020,6.5253,6.5584,6.5348,6.5417,6.5499,6.5621,6.6056,6.5494,6.5070,6.5602
44.39062,6.6346,6.6697,6.6445,6.6520,6.6606,6.6736,6.7202,6.6602,6.6153,6.6716
44.40104,6.6840,6.7215,6.6946,6.7026,6.7119,6.7257,6.7741,6.7114,6.6638,6.7235
44.41145,6.6888,6.7279,6.6998,6.7082,6.7178,6.7322,6.7820,6.7174,6.6677,6.7299
44.42187,6.6720,6.7124,6.6833,6.6920,6.7020,6.7168,6.7686,6.7015,6.6500,6.7145
44.43229,6.6519,6.6936,6.6636,6.6726,6.6828,6.6982,6.7519,6.6823,6.6293,6.6958
44.44270,6.6445,6.6874,6.6565,6.6657,6.6763,6.6922,6.7475,6.6758,6.6212,6.6897
44.45312,6.6501,6.6942,6.6625,6.6719,6.6828,6.6991,6.7561,6.6823,6.6262,6.6965
44.46354,6.6601,6.7054,6.6729,6.6826,6.6937,6.7105,6.7691,6.6932,6.6357,6.7078
44.47395,6.6685,6.7148,6.6815,6.6914,6.7029,6.7200,6.7802,6.7023,6.6435,6.7173
44.48437,6.6754,6.7226,6.6886,6.6987,6.7104,6.7279,6.7896,6.7098,6.6500,6.7251
44.49479,6.6831,6.7312,6.6966,6.7069,6.7188,6.7366,6.7995,6.7182,6.6574,6.7338
44.50520,6.6914,6.7402,6.7051,6.7155,6.7276,6.7457,6.8097,6.7270,6.6653,6.7428
44.51562,6.6985,6.7479,6.7123,6.7229,6.7351,6.7534,6.8184,6.7345,6.6721,6.7505
44.52604,6.7038,6.7537,6.7177,6.7284,6.7407,6.7593,6.8252,6.7401,6.6772,6.7563
44.53645,6.7082,6.7584,6.7222,6.7329,6.7454,6.7641,6.8307,6.7447,6.6814,6.7611
44.54687,6.7095,6.7601,6.7236,6.7344,6.7469,6.7657,6.8330,6.7463,6.6827,6.7627
44.55729,6.7040,6.7548,6.7182,6.7290,6.7416,6.7605,6.8282,6.7410,6.6772,6.7575
44.56770,6.6931,6.7440,6.7073,6.7181,6.7307,6.7497,6.8177,6.7301,6.6663,6.7467
44.57812,6.6796,6.7305,6.6938,6.7046,6.7172,6.7362,6.8044,6.7166,6.6528,6.7332
44.58854,6.6680,6.7188,6.6821,6.6929,6.7055,6.7245,6.7928,6.7049,6.6412,6.7215
44.59895,6.6619,6.7126,6.6759,6.6868,6.6993,6.7183,6.7867,6.6987,6.6352,6.7153
44.60937,6.6570,6.7077,6.6711,6.6819,6.6944,6.7134,6.7820,6.6938,6.6304,6.7104
44.61979,6.6500,6.7006,6.6640,6.6748,6.6873,6.7064,6.7751,6.6867,6.6235,6.7033
44.63020,6.6343,6.6848,6.6483,6.6590,6.6715,6.6905,6.7593,6.6709,6.6079,6.6875
44.64062,6.6015,6.6517,6.6154,6.6261,6.6386,6.6575,6.7260,6.6379,6.5753,6.6544
44.65104,6.5576,6.6074,6.5714,6.5820,6.5943,6.6131,6.6812,6.5937,6.5316,6.6101
44.66145,6.5103,6.5596,6.5239,6.5345,6.5467,6.5653,6.6328,6.5461,6.4846,6.5623
44.67187,6.4651,6.5139,6.4786,6.4890,6.5011,6.5195,6.5865,6.5005,6.4397,6.5166
44.68229,6.4280,6.4764,6.4413,6.4517,6.4637,6.4819,6.5485,6.4631,6.4028,6.4790
44.69270,6.3952,6.4433,6.4085,6.4187,6.4306,6.4488,6.5150,6.4301,6.3703,6.4459
44.70312,6.3619,6.4096,6.3750,6.3852,6.3970,6.4151,6.4809,6.3965,6.3371,6.4122
