 
Zone db temperature (degC)
For zone: room
 
#Time "Base case       ","U01 0.33        ","U01 0.60        ","U01 0.90        ","U01 1.37        ","U01 3.16        ","U01 0.89        ","U01-0.62        ","U01 1.30        ","M-C run:   9    ",
32.50520,10.0393,10.0678,10.0473,10.0533,10.0604,10.0710,10.1092,10.0600,10.0244,10.0693
32.51562,10.1362,10.1643,10.1441,10.1500,10.1570,10.1676,10.2055,10.1567,10.1214,10.1659
32.52604,10.2720,10.2998,10.2798,10.2857,10.2926,10.3030,10.3406,10.2922,10.2575,10.3014
32.53645,10.4433,10.4706,10.4509,10.4567,10.4635,10.4738,10.5107,10.4632,10.4291,10.4721
32.54687,10.6175,10.6441,10.6249,10.6305,10.6371,10.6471,10.6833,10.6368,10.6037,10.6455
32.55729,10.7365,10.7623,10.7437,10.7492,10.7556,10.7653,10.8005,10.7553,10.7232,10.7638
32.56770,10.7769,10.8019,10.7839,10.7892,10.7954,10.8048,10.8390,10.7951,10.7640,10.8033
32.57812,10.7657,10.7900,10.7724,10.7776,10.7836,10.7928,10.8262,10.7833,10.7531,10.7913
32.58854,10.7407,10.7644,10.7473,10.7523,10.7582,10.7672,10.7999,10.7579,10.7285,10.7658
32.59895,10.7408,10.7641,10.7473,10.7522,10.7580,10.7668,10.7990,10.7577,10.7289,10.7654
32.60937,10.7819,10.8045,10.7882,10.7929,10.7986,10.8072,10.8387,10.7983,10.7703,10.8058
32.61979,10.8520,10.8739,10.8581,10.8627,10.8681,10.8765,10.9071,10.8679,10.8410,10.8751
32.63020,10.9336,10.9544,10.9393,10.9437,10.9489,10.9569,10.9865,10.9487,10.9231,10.9556
32.64062,10.9888,11.0086,10.9943,10.9984,11.0034,11.0109,11.0392,11.0031,10.9790,11.0097
32.65104,10.9918,11.0103,10.9969,11.0008,11.0054,11.0125,11.0394,11.0051,10.9826,11.0114
32.66145,10.9599,10.9772,10.9646,10.9682,10.9726,10.9793,11.0047,10.9723,10.9514,10.9782
32.67187,10.9173,10.9334,10.9217,10.9251,10.9291,10.9354,10.9595,10.9289,10.9095,10.9344
32.68229,10.8786,10.8936,10.8827,10.8858,10.8896,10.8954,10.9182,10.8893,10.8714,10.8945
32.69270,10.8510,10.8649,10.8548,10.8577,10.8611,10.8666,10.8880,10.8609,10.8446,10.8657
32.70312,10.8298,10.8423,10.8331,10.8357,10.8389,10.8439,10.8638,10.8387,10.8240,10.8431
32.71354,10.8126,10.8237,10.8156,10.8179,10.8207,10.8252,10.8435,10.8205,10.8076,10.8245
32.72395,10.8040,10.8137,10.8066,10.8085,10.8110,10.8151,10.8317,10.8109,10.7997,10.8144
32.73437,10.8020,10.8104,10.8042,10.8059,10.8080,10.8115,10.8264,10.8079,10.7986,10.8110
32.74479,10.8030,10.8098,10.8048,10.8061,10.8079,10.8108,10.8238,10.8078,10.8004,10.8103
32.75520,10.7288,10.7341,10.7301,10.7311,10.7325,10.7349,10.7460,10.7324,10.7270,10.7345
32.76562,10.5669,10.5707,10.5678,10.5685,10.5696,10.5714,10.5806,10.5695,10.5659,10.5711
32.77604,10.4690,10.4714,10.4696,10.4700,10.4706,10.4719,10.4792,10.4706,10.4688,10.4717
32.78645,10.4508,10.4518,10.4510,10.4511,10.4514,10.4522,10.4578,10.4514,10.4513,10.4520
32.79687,10.4341,10.4339,10.4339,10.4337,10.4338,10.4341,10.4380,10.4338,10.4353,10.4340
32.80729,10.4186,10.4171,10.4180,10.4176,10.4173,10.4172,10.4195,10.4173,10.4204,10.4172
32.81770,10.4086,10.4060,10.4077,10.4071,10.4065,10.4059,10.4066,10.4065,10.4110,10.4060
32.82812,10.4012,10.3974,10.4000,10.3991,10.3983,10.3972,10.3963,10.3983,10.4043,10.3974
32.83854,10.3955,10.3906,10.3940,10.3929,10.3917,10.3903,10.3878,10.3918,10.3991,10.3905
32.84895,10.3913,10.3854,10.3896,10.3881,10.3868,10.3849,10.3810,10.3868,10.3955,10.3852
32.85937,10.3883,10.3813,10.3863,10.3847,10.3830,10.3808,10.3754,10.3831,10.3930,10.3811
32.86979,10.3864,10.3786,10.3842,10.3823,10.3805,10.3779,10.3712,10.3805,10.3916,10.3783
32.88020,10.3840,10.3752,10.3815,10.3795,10.3774,10.3745,10.3665,10.3775,10.3895,10.3749
32.89062,10.3782,10.3686,10.3755,10.3733,10.3710,10.3678,10.3585,10.3711,10.3841,10.3683
32.90104,10.3693,10.3591,10.3664,10.3641,10.3616,10.3581,10.3478,10.3617,10.3756,10.3587
32.91145,10.3588,10.3478,10.3557,10.3532,10.3506,10.3468,10.3354,10.3507,10.3654,10.3474
32.92187,10.3494,10.3379,10.3462,10.3436,10.3408,10.3368,10.3245,10.3409,10.3563,10.3374
32.93229,10.3447,10.3326,10.3413,10.3386,10.3357,10.3315,10.3183,10.3358,10.3518,10.3321
32.94270,10.3427,10.3302,10.3392,10.3364,10.3334,10.3289,10.3150,10.3335,10.3500,10.3296
32.95312,10.3411,10.3281,10.3375,10.3346,10.3315,10.3269,10.3122,10.3316,10.3486,10.3276
32.96354,10.3398,10.3266,10.3362,10.3332,10.3300,10.3253,10.3100,10.3301,10.3475,10.3260
32.97395,10.3391,10.3255,10.3353,10.3323,10.3290,10.3241,10.3083,10.3291,10.3468,10.3249
32.98437,10.3385,10.3247,10.3347,10.3316,10.3283,10.3233,10.3070,10.3284,10.3464,10.3241
32.99479,10.3381,10.3240,10.3342,10.3311,10.3277,10.3226,10.3059,10.3278,10.3460,10.3234
 
33.00520,10.3377,10.3235,10.3338,10.3307,10.3272,10.3221,10.3050,10.3274,10.3457,10.3229
33.01562,10.3377,10.3233,10.3337,10.3306,10.3271,10.3219,10.3044,10.3272,10.3457,10.3227
